Fecha Inicio Viaje,Fecha Fin Viaje,Temporada,ID Origen,ID Destino,Tiempo,Viaje
16/07/2019,16/07/2019,3,51,51,8.008300715,14818
17/07/2019,17/07/2019,3,51,51,9.051781737,14368
18/07/2019,18/07/2019,3,194,51,7.553256239,13144
19/07/2019,19/07/2019,3,51,51,7.411519893,12014
20/07/2019,20/07/2019,3,51,51,6.494512347,8018
21/07/2019,21/07/2019,3,51,51,10.11888,6250
22/07/2019,22/07/2019,3,51,51,8.776784437,13982
23/07/2019,23/07/2019,3,51,51,7.912673056,14085
24/07/2019,24/07/2019,3,51,51,7.650697203,12837
25/07/2019,25/07/2019,3,51,51,4.273167822,13413
26/07/2019,26/07/2019,3,51,51,6.785606721,12617
27/07/2019,27/07/2019,3,51,51,5.130513254,8865
28/07/2019,28/07/2019,3,50,50,11.71735657,6885
29/07/2019,29/07/2019,3,51,51,8.895312625,12523
30/07/2019,30/07/2019,3,51,51,9.279053085,13940
31/07/2019,31/07/2019,3,51,51,7.287127324,14255
01/08/2019,01/08/2019,3,51,51,7.031981725,14008
02/08/2019,02/08/2019,3,51,51,6.700314748,13344
03/08/2019,03/08/2019,3,51,51,3.227338289,9013
04/08/2019,04/08/2019,3,50,51,8.576240328,6591
05/08/2019,05/08/2019,3,51,51,9.216216216,13764
06/08/2019,06/08/2019,3,52,51,8.404083148,13470
07/08/2019,07/08/2019,3,51,51,8.175151559,13691
08/08/2019,08/08/2019,3,194,51,7.171915333,11622
09/08/2019,09/08/2019,3,51,51,6.602994056,13627
10/08/2019,10/08/2019,3,51,51,2.826473234,8892
11/08/2019,11/08/2019,3,51,51,10.38222345,7268
12/08/2019,12/08/2019,3,51,51,8.469522676,15126
13/08/2019,13/08/2019,3,51,51,9.40108927,15974
14/08/2019,14/08/2019,3,194,51,8.816565134,16251
15/08/2019,15/08/2019,3,51,51,7.505874308,16087
16/08/2019,16/08/2019,3,51,51,8.822816578,13946
17/08/2019,17/08/2019,3,51,51,6.813633067,9653
18/08/2019,18/08/2019,3,50,50,8.334637965,7154
19/08/2019,19/08/2019,3,51,51,9.54943149,15567
20/08/2019,20/08/2019,3,51,51,8.286109404,16270
21/08/2019,21/08/2019,3,51,51,8.292035943,16248
22/08/2019,22/08/2019,3,51,51,8.860180326,14862
23/08/2019,23/08/2019,3,51,51,7.751060727,15084
24/08/2019,24/08/2019,3,51,51,5.002825206,8141
25/08/2019,25/08/2019,3,51,51,11.02615531,7379
26/08/2019,26/08/2019,3,51,51,8.020697253,12707
27/08/2019,27/08/2019,3,51,51,8.18702337,16260
28/08/2019,28/08/2019,3,51,51,8.618151706,15095
29/08/2019,29/08/2019,3,51,51,7.590463626,15918
30/08/2019,30/08/2019,3,51,51,6.440417569,15231
31/08/2019,31/08/2019,3,51,51,6.452412527,9803
01/09/2019,01/09/2019,3,51,51,8.568414068,7535
02/09/2019,02/09/2019,3,51,51,8.944967208,14028
03/09/2019,03/09/2019,3,51,51,8.014435696,16002
04/09/2019,04/09/2019,3,51,51,9.524802936,14716
05/09/2019,05/09/2019,3,51,51,7.730304021,15295
06/09/2019,06/09/2019,3,34,51,7.905796118,14734
07/09/2019,07/09/2019,3,51,51,5.502223236,8771
08/09/2019,08/09/2019,3,51,51,9.944944126,7338
09/09/2019,09/09/2019,3,51,51,10.06881707,15563
10/09/2019,10/09/2019,3,51,51,8.746487908,15589
11/09/2019,11/09/2019,3,51,51,9.656620089,15959
12/09/2019,12/09/2019,3,51,51,7.942633802,15863
13/09/2019,13/09/2019,3,51,51,8.593276613,14457
14/09/2019,14/09/2019,3,51,51,5.935494803,8852
15/09/2019,15/09/2019,3,51,54,5.000310511,6441
16/09/2019,16/09/2019,3,51,50,7.254521539,6082
17/09/2019,17/09/2019,3,51,51,8.236117239,15865
18/09/2019,18/09/2019,3,51,51,8.909985761,16153
19/09/2019,19/09/2019,3,51,51,9.326819615,16171
20/09/2019,20/09/2019,3,51,51,6.867349056,14459
21/09/2019,21/09/2019,3,51,51,6.046373365,10092
22/09/2019,22/09/2019,3,50,51,9.427123928,7698
23/09/2019,23/09/2019,3,51,51,7.363075925,15410
24/09/2019,24/09/2019,3,11,51,9.206115867,16122
25/09/2019,25/09/2019,3,11,51,8.692054448,15795
26/09/2019,26/09/2019,3,51,51,9.934352046,15248
27/09/2019,27/09/2019,3,51,51,7.589606501,14028
28/09/2019,28/09/2019,3,51,51,5.920953063,9779
29/09/2019,29/09/2019,3,50,51,9.810881251,6139
30/09/2019,30/09/2019,3,51,51,9.332858403,14739
01/10/2019,01/10/2019,4,51,51,8.92008693,16105
02/10/2019,02/10/2019,4,51,51,8.66554425,13661
03/10/2019,03/10/2019,4,51,51,7.958819492,16027
04/10/2019,04/10/2019,4,51,51,6.532126208,14801
05/10/2019,05/10/2019,4,51,51,4.351962674,9859
06/10/2019,06/10/2019,4,51,51,7.713952632,8149
07/10/2019,07/10/2019,4,51,51,8.661839383,15951
08/10/2019,08/10/2019,4,51,51,8.258634247,16533
09/10/2019,09/10/2019,4,51,51,7.432593594,16267
10/10/2019,10/10/2019,4,51,51,7.433542925,16063
11/10/2019,11/10/2019,4,51,51,5.424331748,14927
12/10/2019,12/10/2019,4,51,51,4.73453344,8777
13/10/2019,13/10/2019,4,51,51,7.923556942,7051
14/10/2019,14/10/2019,4,51,51,10.45741956,16005
15/10/2019,15/10/2019,4,51,51,8.35947397,16577
16/10/2019,16/10/2019,4,51,51,7.328428734,16719
17/10/2019,17/10/2019,4,51,51,5.700136952,16064
18/10/2019,18/10/2019,4,51,51,8.074482274,14245
19/10/2019,19/10/2019,4,51,51,4.835755814,9632
20/10/2019,20/10/2019,4,51,51,8.711715665,6837
21/10/2019,21/10/2019,4,51,51,8.063720385,15364
22/10/2019,22/10/2019,4,51,51,9.083088512,13275
23/10/2019,23/10/2019,4,51,51,7.379972919,15509
24/10/2019,24/10/2019,4,51,51,6.933587441,15479
25/10/2019,25/10/2019,4,51,51,7.341061623,14751
26/10/2019,26/10/2019,4,51,51,6.026795171,9442
27/10/2019,27/10/2019,4,51,51,8.748665298,7305
28/10/2019,28/10/2019,4,51,51,8.667733299,15313
29/10/2019,29/10/2019,4,51,51,7.561111451,16339
30/10/2019,30/10/2019,4,51,51,8.179563013,16568
31/10/2019,31/10/2019,4,51,51,9.443497284,13256
01/11/2019,01/11/2019,4,51,51,6.83618301,14797
02/11/2019,02/11/2019,4,51,51,9.589863014,7300
03/11/2019,03/11/2019,4,50,50,8.550842774,7238
04/11/2019,04/11/2019,4,51,51,8.110726418,15308
05/11/2019,05/11/2019,4,51,51,7.928393006,15613
06/11/2019,06/11/2019,4,51,51,7.228721777,16343
07/11/2019,07/11/2019,4,51,51,7.102354905,16179
08/11/2019,08/11/2019,4,51,51,6.189381107,15350
09/11/2019,09/11/2019,4,51,51,5.080426457,9661
10/11/2019,10/11/2019,4,51,51,7.397066886,7296
11/11/2019,11/11/2019,4,51,51,8.362923938,15185
12/11/2019,12/11/2019,4,51,51,9.770822669,13675
13/11/2019,13/11/2019,4,51,51,7.771798471,12822
14/11/2019,14/11/2019,4,51,51,6.979917611,15536
15/11/2019,15/11/2019,4,54,51,6.393758074,14707
16/11/2019,16/11/2019,4,51,51,7.106345623,7974
17/11/2019,17/11/2019,4,51,54,6.70788622,5871
18/11/2019,18/11/2019,4,51,51,6.221686101,7461
19/11/2019,19/11/2019,4,51,51,8.216091954,15225
20/11/2019,20/11/2019,4,51,51,7.613333333,15525
21/11/2019,21/11/2019,4,51,51,6.852043151,15295
22/11/2019,22/11/2019,4,51,51,7.298577222,14549
23/11/2019,23/11/2019,4,51,51,5.300639428,9227
24/11/2019,24/11/2019,4,51,50,10.03153216,7199
25/11/2019,25/11/2019,4,51,51,8.602834404,14324
26/11/2019,26/11/2019,4,51,51,8.805386499,14295
27/11/2019,27/11/2019,4,51,51,7.291208063,15082
28/11/2019,28/11/2019,4,51,51,6.063986711,15050
29/11/2019,29/11/2019,4,51,51,6.251751614,14558
30/11/2019,30/11/2019,4,51,51,4.358430876,9483
01/12/2019,01/12/2019,1,51,54,7.757947256,7015
02/12/2019,02/12/2019,1,52,51,8.219812782,14849
03/12/2019,03/12/2019,1,51,51,8.972329721,15504
04/12/2019,04/12/2019,1,51,51,7.914176144,15124
05/12/2019,05/12/2019,1,51,51,7.493666667,15000
06/12/2019,06/12/2019,1,51,51,6.290535379,14401
07/12/2019,07/12/2019,1,51,51,5.416869335,9046
08/12/2019,08/12/2019,1,50,51,7.966584696,6913
09/12/2019,09/12/2019,1,51,51,7.692208073,13899
10/12/2019,10/12/2019,1,51,51,8.307135325,14225
11/12/2019,11/12/2019,1,51,51,6.916424057,14083
12/12/2019,12/12/2019,1,51,51,7.087307576,13252
13/12/2019,13/12/2019,1,51,51,4.272063299,13144
14/12/2019,14/12/2019,1,51,51,6.947874265,8844
15/12/2019,15/12/2019,1,51,51,8.223314182,6614
16/12/2019,16/12/2019,1,52,51,8.485838129,13381
17/12/2019,17/12/2019,1,51,51,8.565334892,13691
18/12/2019,18/12/2019,1,51,51,5.59335443,13272
19/12/2019,19/12/2019,1,51,51,5.934150558,12726
20/12/2019,20/12/2019,1,51,51,6.244316098,10908
21/12/2019,21/12/2019,1,51,51,7.898420615,6015
